repo_name,file_name,smell_code,type,level,year,file_size,loc,owner_type,language,size,base_image_full,base_image
Aleks-Ya/yaal_examples,Aleks-Ya/yaal_examples/JavaLibExtDockerfile,DL3025,DL,warning,2019,501,12,User,Java,91899,openjdk:8-jdk-alpine,openjdk
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,DL3007,DL,warning,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,DL3032,DL,warning,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,DL3033,DL,warning,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,DL3059,DL,info,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,DL3059,DL,info,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
Alfresco/records-management,Alfresco/records-management/rm-communityrm-community-sharejrebel-repoDockerfile,SC2039,SC,warning,2019,495,5,Organization,Java,24541,alfresco/alfresco-governance-repository-community:latest,alfresco/alfresco-governance-repository-community
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3009,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3008,DL,warning,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3015,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
AlsaceDigitale/strasbourgstartups,AlsaceDigitale/strasbourgstartups/Dockerfile,DL3059,DL,info,2019,1205,25,Organization,Ruby,5996,ruby:2.6.5,ruby
