#,repo,file_path,commit_url,description,category,affected_instructions,
109,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/f63feb6ac2a0385eadb2d7e02e263590358a3f40,update build step (add dependency),UBS,RUN,
110,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/06251dca5390508b32973f1de936b5e34f256b18,update build step,UBS,RUN,
111,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/d18957d0f62d5384488c2c913b51108efd78e3f3,update build step (add/remove dependencies),UBS,RUN,
112,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/9fa23636f67b4e21f5aed14c59c5ffb944b5c3b5,update build step (add/remove dependencies),UBS,RUN,
113,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/4e06f7fea40d710437376a75552f1bea1406ce10,update build step (add dependency),UBS,RUN,
114,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/ae2e316ae5734561ba3076f59203153c56ec0586,update build step (add dependency),UBS,RUN,
115,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/0b3742ad0f0bb414714a0c7ef9bc076dd75cf6c0,update base image (pin version),UBI,FROM,
116,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/1e625bca0b0e49441dd5eb78ff159cf5c332c231,update build step,UBS,RUN,
117,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/ed667932538989e301884039b86db13b30db79b4,add build steps,ABS,"RUN,COPY,WORKDIR",
118,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/76fad2b55154cee45d964e04c9ba04fb8d4544c6,update build step (add dependency),UBS,RUN,
119,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/eec39c3c960ec35bb94f9490b94b37775a3938a1,update build step (add/remove dependencies),UBS,RUN,
120,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/f8176f616ce75170a48c87b281ec4ed09fafd52d,"update build step (add/remove dependencies), remove build steps","UBS,RBS","RUN,RUN,COPY,RUN,RUN",
121,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/18459b6b62946394cd86f0c4dd0784ca30256587,"update build steps (add/remove dependencies),add build step, remove build step","UBS,ABS,RBS","RUN,RUN,RUN",
122,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/b2022801aeac20ab180fa709c9cce00ae6def61b,update build step,UBS,RUN,
123,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/87f88deb55d919d57002e6b59eff79b3a7f802df,update build step,UBS,RUN,
124,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/d1d6766bde140c76412e0cc21603997ae8426751,update build step,UBS,RUN,
125,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/2bd5cdcb48a8b6c07e47c648c61d00baca6a2a49,"update build step,rename script","UBS,R",COPY,
126,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/ba0e2f0691e4baa0bdc2631e8a7fcaf03315bb5a,"update build steps,rename scripts","UBS,R","COPY,RUN,ENTRYPOINT",
127,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/2d5e574d88de9762b893728299b275ece8d92f8d,update build steps,UBS,"RUN,COPY,RUN,RUN,RUN,ENTRYPOINT",
128,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/accb8ef8364bd15c66ce752526d3cbcc4abdbe96,"remove build step, update build step","RBS,UBS","RUN,EXPOSE",
129,efenfauzi/orcinus,Dockerfile,https://github.com/efenfauzi/orcinus/commit/8a78065a3777a6d09946a840f475661d3160d51a,add dockerfile,AD,*,
130,g-nightingale/deploying-machine-learning-models,Dockerfile,https://github.com/g-nightingale/deploying-machine-learning-models/commit/3f25370a1b464014419ac49a1e4eeee6b19cbe09,add dockerfile,AD,*,
131,Greenstand/treetracker-wallet-web,Dockerfile,https://github.com/Greenstand/treetracker-wallet-web/commit/e89a7f576370f98bb7e93a77cf41495ba2879579,remove build step,RBS,RUN,
132,Greenstand/treetracker-wallet-web,Dockerfile,https://github.com/Greenstand/treetracker-wallet-web/commit/01e600c94efcc51815cb465d427446943f3b82a0,add dockerfile,AD,*,
133,jcarlosv/man,Dockerfile,https://github.com/jcarlosv/man/commit/d8df859e5cc4766ba0107e17a4cb960d91c68940,"update base image, udpate build steps (version bumps)","UBI,UBS","FROM,RUN",
134,jcarlosv/man,Dockerfile,https://github.com/jcarlosv/man/commit/07d6304a0ff6f4a856d9c3932e22cf7ac2c3ea9e,"update base image, udpate build steps, remove comments","UBI,UBS,MC","FROM,RUN,RUN,RUN,RUN",
135,jcarlosv/man,Dockerfile,https://github.com/jcarlosv/man/commit/175121e5816e0e359307c60453895c88165e9d01,add dockerfile,AD,*,
136,Juan-cabrera-tw/github-actions-test,Dockerfile,https://github.com/Juan-cabrera-tw/github-actions-test/commit/14b339d2af065e5263f955908dce4261128c7621,add dockerfile,AD,*,
137,lijing-21/apisix-website,Dockerfile,https://github.com/lijing-21/apisix-website/commit/063b2c0918fae7711777aa55a63ee9e65c2f4360,add dockerfile,AD,*,
138,MmgTools/mmg,Dockerfile,https://github.com/MmgTools/mmg/commit/447f8360677c797788eb45eb6a1ad3174c35390f,update build step,UBS,RUN,
139,MmgTools/mmg,Dockerfile,https://github.com/MmgTools/mmg/commit/b3e72662881cbc64bbcfc81940f53f0402f60d77,add dockerfile,AD,*,
140,nickbabcock/rl-web,Dockerfile,https://github.com/nickbabcock/rl-web/commit/21f727cb2d542737fb9d0a3e398b10ad285861bd,remove dockerfile,DD,,
141,nickbabcock/rl-web,Dockerfile,https://github.com/nickbabcock/rl-web/commit/555ec0f8defc12f9727f178660de791f8cfc04a8,"update base image, update build step","UBI,UBS","FROM,RUN",
