#,repo,file_path,commit_url,description,category,affected_instructions,
250,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/623418289ef592484cfbffafd9df0974e37c4336,update build step (apt -> apt-get),UBS,RUN,
251,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/6ad73279f0290134f7eeb073a853f94ff58b2871,update build step,UBS,RUN,
252,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/ef7d6e08cdf1513eeddf4c0ddea9e536d05f6cf4,add dockerfile,AD,*,
253,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/956d1ef22ce2eb70aae93f2ecf16ba6ca34e2f9b,remove dockerfile,RD,,
254,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/058829631d5a469107d3918e4cb0df2461a5a2eb,"update build steps (base image, structure)","UBI,UBS","FROM,COPY,ADD,WORKDIR,RUN",
255,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/6fce84a278d513c4fb0ec2dfcc6264105fbca8a3,update base image,UBI,FROM,
256,TechEmpower/FrameworkBenchmarks,frameworks/D/vibed/vibed-ldc.dockerfile,https://github.com/TechEmpower/FrameworkBenchmarks/commit/9f11e23c8b6a9484880df5642160b7cd75aaf076,add dockerfile,AD,*,
257,yorch81/WebOcr,docker/Dockerfile,https://github.com/yorch81/WebOcr/commit/04c35fbcbee4866331d81ae09f6df45213e596d7,add dockerfile,AD,*,
258,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/830f3240b558ac56991848e281aaa0c5cee46afc,add build step,AD,USER,
259,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/f80fce732388b48da3ccba3f059e89f5d36f053e,"update build step, update comment (docs)","UBS,MC",RUN,
260,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/a6b75f7f45ee2b272f7333768f7308c4c7964387,"update build step, update comment (docs)","UBS,MC",RUN,
261,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/0a661f8dca31de5c2b23bc192e981d3de2b65f78,"update build step, update comment (docs)","UBS,MC",RUN,
262,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/27865ef4744097ad93561f1c125007dd5022523b,update build step,UBS,RUN,
263,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/a4cc266100749c2d9fff42fc8f7c225b73879aee,update build step (smell usign RUN mkdir),UBS,RUN,
264,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/b6188df3cc227a6339ebfdd2d152035cf84ab54a,udpate build step (syntax error),UBS,RUN,
265,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/a1ecaf24bbade3c426247e05e4bf3e21258ed514,update build step (add smell RUN mkdir),UBS,RUN,
266,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/6280451c5c0ae9deb33a9d7b589ae6f4e2583df3,update build steps (update comments),UBS,"RUN,CMD",
267,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/4124f287c7548ef21fc17c79ba39ea1235c63ff1,update build step,UBS,RUN,
268,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/acc22518de8bd60bce0554c59b32fe101608b0a5,update build step,UBS,RUN,
269,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/b35f09be803ea0c3e42d486f79dfd7b026e48bf4,update build step,UBS,RUN,
270,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/aa8b05b0132f013945f1a31b380b254328785e74,update build step,UBS,RUN,
271,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/a92fb79034456e1c6f3c37ff4856c16297443037,update build step,UBS,RUN,
272,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/2ae6239c2f1bbb50251ce28fcbf1c7cdb48acb34,remove build step (add comment; docs),"RBS,MC",RUN,
273,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/e284080e8407528815f637aca7114ed868d477d7,add build step (add comment; docs),ABS,RUN,
274,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/f126e7a91f95e6cf28d003cf1dbf5117750fd88e,"update build steps(base image, deprecated MAINTAINER, add comments)","UBI,UBS,ML","FROM,MAINTAINER,RUN",
275,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/d0a1989bbda5a33879787b7ab262846111c20094,add build step,ABS,MAINTAINER,
276,umple/umple,umpleonline/Dockerfile,https://github.com/umple/umple/commit/37d01d8d651dc3ee0a824a9c6a3bc967793b8216,add dockerfile,AD,*,
277,apache/reef,dev/docker/ubuntu12.04-jdk7-hdp2.4/Dockerfile,https://github.com/apache/reef/commit/677a5348b04a9774b6b2bd295a7d617dc3c401c0,add install flags,UBS,RUN,
278,apache/reef,dev/docker/ubuntu12.04-jdk7-hdp2.4/Dockerfile,https://github.com/apache/reef/commit/4c0207ed03a7596af4785ace4e8e920d2be14270,version bump across multiple instructions,"UBS,MC","RUN,ENV,RUN",
279,apache/reef,dev/docker/ubuntu12.04-jdk7-hdp2.4/Dockerfile,https://github.com/apache/reef/commit/630124476b5c1a41c2e043a672ec2db79ac16da0,add dockerfile,AD,*,
280,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/e8fa2207c3efbf99722d3ee9cd977713b9281f7d,"update base image, set version tag to latest",UBI,FROM,
281,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/52086c49d662db7b1d20ca1ea32f4b819ba867f3,"remove ""run-from atomic"" feature","RBS,MC,ML","ENV,LABEL,LABEL,LABEL,RUN,RUN,ADD,WORKDIR,RUN",
282,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/4cfc7fcfa536073fdfafd688faade976bbd81388,"simplify a feature, logically restructure build steps","UBI,UBS,ABS","FROM,ENV,RUN,RUN,WORKDIR,LABEL,LABEL,RUN,RUN",
283,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/6f51c41a2f6dcac935cbe1add2f5f214ad3b11da,update environment variables,UBS,ENV,
284,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/9472b3d04115c0c62fe7e8890100013773ff4017,switch to build from repo,"UBS,ABS,RBS,ML","ENV,RUN,RUN,WORKDIR,LABEL,ADD,RUN",
285,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/4a72997d511f5cb51da51f66fdb3bfd4d89593a1,move parts of the build proccess to scripts (modular; reusable),"RBS,MC,UBS,ABS,ML","ENV,RUN,ENV,ENV,ENV,RUN,ADD,ADD,ADD,LABEL,LABEL,LABEL,ENV,ENV,LABEL,RUN,RUN,RUN,RUN,ENTRYPOINT,RUN",
286,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/f6b2ab38a82de6dd1e5468cbe5c70cd9e354897e,udpate ENTRYPOINT command,UBS,ENTRYPOINT,
287,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/51c42c1dbceed07476cca328ee39efaf58892af9,"fix, provide access to volume",UBS,LABEL,
288,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/a65a9a4ddd91d30f8bf4546a676410d3b173252a,add support for atomic commands,"MC,ML,RBS,UBS,ABS","LABEL,RUN,RUN,RUN,RUN,RUN,ENV,ENV,RUN,RUN,RUN,ADD,ADD,ADD,LABEL,LABEL,LABEL,WORKDIR,ENV,ENV,ENV,RUN,RUN",
289,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/d5269e972ac11a8543f4ddb37d2dde412d739ffc,add support for testing in docker spc,"RBS,ABS,MC,ML","FROM,RUN,RUN,MAINTAINER,LABEL,ENV,RUN,RUN,RUN,RUN,RUN,ENV,ENV,ENV,RUN,RUN,RUN,ADD,WORKDIR,ENV,ENV,ENV,RUN,RUN,ENTRYPOINT",
290,autotest/autotest-docker,Dockerfile,https://github.com/autotest/autotest-docker/commit/6ff6346504d5e71e54a15f398454a2cfc99121a0,"update base image, add debugging steps","UBI,UBS,ABS","FROM,RUN,RUN",
