repo_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
OpenSourcePolitics/decidim-binic,10,2021,850,17,Organization,Ruby,769,ruby:2.7.1,ruby
OpenSourcePolitics/decidim-cd37,10,2021,850,17,Organization,Ruby,4329,ruby:2.7.1,ruby
OpenSourcePolitics/decidim-eelv,14,2019,1029,32,Organization,Ruby,877,ruby:2.6.3,ruby
OpenSourcePolitics/decidim-people-powered,14,2019,1029,32,Organization,Ruby,787,ruby:2.6.3,ruby
OpenSourcePolitics/decidim-reneweu,14,2019,1029,32,Organization,Ruby,4182,ruby:2.6.3,ruby
OpenSourcePolitics/decidim-sen,0,2019,28,1,Organization,Ruby,2599,decidim/decidim:0.18.0,decidim/decidim
OpenSourcePolitics/decidim-tou,14,2019,1029,32,Organization,Ruby,9608,ruby:2.6.3,ruby
OpenSourceProjects/biscuit,3,2021,429,16,Organization,Go,185,alpine:3.14.2,alpine
OpenTOSCA/winery,8,2022,4356,90,Organization,Java,61114,tomcat:9-jdk11-openjdk-buster,tomcat
OpenTTD/DorpsGek,3,2021,1418,30,Organization,Python,131,python:3.8-slim,python
OpenTTD/bananas-api,5,2021,2394,44,Organization,Python,385,python:3.8-slim,python
OpenTTD/bananas-frontend-web,3,2021,1911,35,Organization,HTML,187,python:3.8-slim,python
OpenTTD/bananas-server,4,2021,1887,33,Organization,Python,110,python:3.8-slim,python
OpenTTD/game-coordinator,3,2021,1573,27,Organization,Python,144,python:3.8-slim,python
OpenTTD/master-server,3,2021,1503,27,Organization,Python,117,python:3.8-slim,python
OpenTTD/master-server-web,3,2021,1524,27,Organization,Python,99,python:3.8-slim,python
OpenUpSA/case-management,9,2021,1181,26,Organization,TypeScript,3069,openup/docker-python-nodejs:python3.7-nodejs12,openup/docker-python-nodejs
OpenUpSA/municipal-structures-compliance,9,2021,1310,35,Organization,Python,746,nikolaik/python-nodejs:python3.8-nodejs12,nikolaik/python-nodejs
OpenUpSA/wazimap-ng-ui,1,2020,115,7,Organization,HTML,46009,node:10,node
Opentrons/oe-core,7,2021,3135,32,Organization,Dockerfile,68632,python:3.6-buster,python
OpsMx/clouddriver,12,2021,1878,34,Organization,Groovy,65441,registry.access.redhat.com/ubi8/ubi,registry.access.redhat.com/ubi8/ubi
Opus-Interactive/airflow,1,2022,62104,1126,Organization,Python,151732,${PYTHON_BASE_IMAGE},${PYTHON_BASE_IMAGE}
OrchardCMS/OrchardCore,0,2021,424,11,Organization,C#,185312,mcr.microsoft.com/dotnet/aspnet:6.0,mcr.microsoft.com/dotnet/aspnet
Ordred/pfyn-finges-template,2,2021,679,14,User,JavaScript,1801,nginx:alpine,nginx
OriginProtocol/origin,1,2020,1745,30,Organization,JavaScript,270816,node:10,node
OrionTheFox/Skyrat-tg,12,2021,2461,61,User,DM,2710086,byond,byond
OrlovDiga/elasticsearch-security-operator,3,2021,956,28,User,Go,175,alpine:3.13.5,alpine
Osadakun/rails-react-typescript,10,2021,626,16,User,Ruby,47449,ruby:2.6.3,ruby
OtherwiseJunk/TheDeepState,23,2022,1191,33,User,C#,3066,base,base
OttrOne/dailyottr.ts,0,2021,328,12,Organization,TypeScript,46,node:alpine,node
Ouest-France/cdp,5,2022,1941,51,Organization,Python,611,alpine:3.14,alpine
Ouranosinc/Magpie,7,2021,1491,33,Organization,Python,9023,python:3.7-alpine,python
OutdoorRD/trails-viz,18,2020,1108,24,Organization,Vue,2914,nginx:1.17.4,nginx
Ouxsoft/phpmarkup,7,2021,3225,84,Organization,PHP,12407,debian:buster,debian
OvaraPerera/orangehrm,8,2021,2440,79,User,None,53334,php:7.3.15-apache-buster,php
OwenFeik/chsheet,0,2021,121,6,User,JavaScript,781,node:14,node
Oyaki122/voicevox,3,2021,312,12,User,TypeScript,14188,node:14.17.4,node
P0cL4bs/wifipumpkin3,11,2021,890,27,Organization,Python,17429,ubuntu:18.04,ubuntu
P4nos/astarjs,1,2020,261,10,User,TypeScript,157,node:10,node
PACordonnier/demo-cicd,3,2021,335,11,User,JavaScript,37,node:14-alpine,node
PAIDNetwork/paid-dapp-nextjs,1,2021,1594,35,Organization,TypeScript,5092,build,build
PAQUITOAG69/docs,3,2020,351,14,User,None,7723,nginx:latest,nginx
PDhanrajnath/be,1,2021,153,4,User,Java,57,,
PDhanrajnath/fe,0,2021,398,8,User,JavaScript,930,node:10-alpine,node
PEM-Humboldt/biomodelos_db_api,2,2021,321,13,Organization,JavaScript,5743,node:14.15,node
PHT-EU/central-ui,0,2022,505,17,Organization,TypeScript,41900,node:16-alpine,node
PHT-EU/station-backend,12,2022,823,12,Organization,Python,941,python:3.9,python
PHUICMT/phq-9-mailsender,0,2021,138,6,User,JavaScript,189,node:alpine,node
PI2-Grupo-8/frontend,0,2021,89,4,Organization,JavaScript,139,node:15,node
PI2-Grupo-8/vehicle-api,0,2021,89,4,Organization,JavaScript,43,node:15,node
PI2-VANT/Backend-User,0,2021,88,4,Organization,TypeScript,435,node:15,node
PI2-VANT/Frontend,0,2021,117,5,Organization,TypeScript,786,node:14-alpine,node
PKRoma/NodeBB,1,2022,485,16,User,JavaScript,74527,node:lts,node
PLEBNET-PLAYGROUND/LNDroneController,1,2021,641,14,Organization,C#,271,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
PPKE-Bioinf/psindb.itk.ppke.hu,7,2021,1326,27,Organization,HTML,95403,python:3.8,python
PR0FESS0R-99/LuciferMoringstar_Robot,8,2022,322,10,User,Python,2827,python:3.10-slim-buster,python
PRANAYCR7/myweb,0,2019,163,2,User,Java,1513,tomcat:8.0.20-jre8,tomcat
PRATHEEsni/VeezMusic,15,2021,371,11,User,Python,941,python:3.9.7-slim-buster,python
PREreview/prereview,5,2021,2437,90,Organization,JavaScript,11925,prod,prod
PRIDE-Archive/pride-web,3,2021,579,10,Organization,HTML,45952,nginx:1.17.6,nginx
PSOHart/sibioviz,11,2022,2315,43,User,Ruby,8081,base,base
PSPDFKit/pspdfkit-web-signing-service-example,0,2021,152,7,Organization,JavaScript,71,node:10,node
PUCPR-BioInformatics/gen-seq-interface,1,2021,38,2,Organization,TypeScript,643,nginx,nginx
PWMaestro/textAINew,5,2021,1096,30,User,JavaScript,1150,ubuntu:18.04,ubuntu
PabloCidSoto/api,1,2021,209,11,User,JavaScript,227347,node:12,node
PabloHdzVizcarra/differences-dao-repository-patterns,1,2021,138,4,User,Java,118,amazoncorretto:11-alpine-jdk,amazoncorretto
PabloVillagran/Backend_rosario,4,2021,1220,16,User,Python,120,python:3.9-slim-buster,python
PakkuDon/forem,1,2020,13,1,User,Ruby,721020,,
PalNilsson/dask-pilot,3,2021,2259,37,User,Python,12,continuumio/miniconda3:4.8.2,continuumio/miniconda3
PaleoCrafter/harmony,2,2022,418,14,Organization,TypeScript,2140,node:16-alpine,node
Pandinosaurus/baal,5,2021,1155,28,User,Python,49168,setup,setup
Pankaja-Suganda/Inventory_Management_System,12,2022,748,12,User,HTML,8356,python:3.9,python
Panquesito7/LinkFree,2,2021,625,17,User,JavaScript,6102,node:15,node
Pantani/starport,3,2021,911,25,User,Go,1475515,base,base
Paperspace/gradient-installer,1,2022,224,7,Organization,HCL,643,hashicorp/terraform:1.2.3,hashicorp/terraform
Parabeac/Parabeac-Core,3,2020,152,8,Organization,Dart,30431,google/dart,google/dart
ParikhKadam/label-studio,5,2021,987,21,User,Python,389364,ubuntu:20.04,ubuntu
ParikhKadam/nni,11,2021,1865,43,User,Python,59796,nvidia/cuda:10.2-cudnn8-runtime-ubuntu18.04,nvidia/cuda
ParikhKadam/photoprism,0,2022,124,3,User,Go,122277,photoprism/development:20210422,photoprism/development
ParikhKadam/pyodide,7,2021,1726,31,User,Python,12747,python:3.9.5-slim-buster,python
