repo_name,file_name,smell_count,year,file_size,loc,owner_type,language,size,base_image_full,base_image
ICTU/quality-report,ICTU/quality-report/example_report.Dockerfile,8,2019,541,10,Organization,Python,10575,python:3.6-alpine,python
ICTU/quality-report,ICTU/quality-report/testx.Dockerfile,3,2019,198,5,Organization,Python,10575,ictu/docker-protractor-headless,ictu/docker-protractor-headless
ICanBoogie/Storage,ICanBoogie/Storage/Dockerfile,3,2019,296,9,Organization,PHP,87,php:7.1.32-cli-stretch,php
IDCI-Consulting/StepBundle,IDCI-Consulting/StepBundle/.dockerbuildnodeDockerfile,10,2019,552,13,Organization,PHP,15430,node:current,node
IDCI-Consulting/StepBundle,IDCI-Consulting/StepBundle/.dockerbuildphpDockerfile,8,2019,819,28,Organization,PHP,15430,php:7.2-fpm,php
IIIF/image-api,IIIF/image-api/Dockerfile,19,2019,1519,29,Organization,Python,743,httpd:2.4.39,httpd
IKCAP/wings,IKCAP/wings/wings-dockerdockergenomicsDockerfile,8,2019,780,18,Organization,Java,4306,kcapd/wings-base,kcapd/wings-base
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesarchiveDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesgrafanaDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesmongodbDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesnginxDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesselinuxDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulessnmpDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
Icinga/icinga-vagrant,Icinga/icinga-vagrant/.puppetmodulesyumDockerfile,2,2019,475,11,Organization,Ruby,30534,ruby:2.5.3,ruby
InnovaLangues/self,InnovaLangues/self/Dockerfile,2,2019,627,15,Organization,PHP,61416,kibatic/symfony:7.1,kibatic/symfony
Intelworks/cabby,Intelworks/cabby/Dockerfile,3,2019,383,10,Organization,Python,394,python:3-slim-stretch,python
JFrogDev/project-examples,JFrogDev/project-examples/jenkins-examplespipeline-examplesresourcesDockerfile,1,2019,24,1,Organization,C#,23402,hello-world:latest,hello-world
JHaals/yopass,JHaals/yopass/.githubaction-deployDockerfile,5,2019,632,15,User,TypeScript,20776,golang:1-stretch,golang
Jalle19/xbmc-video-server,Jalle19/xbmc-video-server/dockerDockerfile,9,2019,1167,25,User,PHP,2806,ubuntu:bionic,ubuntu
JarvusInnovations/Emergence,JarvusInnovations/Emergence/Dockerfile,8,2019,2756,73,Organization,PHP,28483,ubuntu:16.04,ubuntu
Jenyay/OutWiker,Jenyay/OutWiker/need_for_buildbuild_dockerDockerfile,15,2019,1887,17,User,Python,116949,ubuntu:xenial,ubuntu
JohnSounder/AP-API,JohnSounder/AP-API/Dockerfile,5,2019,240,8,Organization,Python,1516,python:3.6,python
JorgenEvens/php-cache-dashboard,JorgenEvens/php-cache-dashboard/Dockerfile,3,2019,245,7,User,PHP,55,php:7.2-apache,php
KCL-Planning/VAL,KCL-Planning/VAL/scriptsbuilddockerDockerfile,2,2019,487,17,Organization,C++,24443,debian:9-slim,debian
Kazade/KGLT,Kazade/KGLT/platformsandroidDockerfile,7,2019,1230,22,User,C++,212283,openjdk:10-jdk,openjdk
