repo_name,year,file_size,loc,owner_type,language,size,base_image_full,base_image
tokyodrift1993/acme.sh,2021,1531,61,Organization,Shell,5662,alpine:3.12,alpine
jiramot/express-oauth2-sso-web,2021,394,13,User,TypeScript,51,node:14.15-alpine3.12,node
parameter1/ab-media-websites,2021,437,17,Organization,Marko,1876,node:10.15-alpine,node
parameter1/ac-business-media-newsletters,2020,413,16,Organization,Marko,1587,node:10.15-alpine,node
xZenshin/DISYS_2,2021,264,11,User,Go,14,scratch,scratch
Voshitha/sample-node-js-app,2021,157,8,User,CSS,263,node:latest,node
pagopa/pagopa-mock-psp,2021,110,4,Organization,HCL,379,openjdk:8-jdk-alpine,openjdk
pagopa/io-functions-app,2019,231,6,Organization,TypeScript,3460,mcr.microsoft.com/azure-functions/node:2.0,mcr.microsoft.com/azure-functions/node
pagopa/pagopa-api-config,2021,329,8,Organization,Java,4179,adoptopenjdk/openjdk16:alpine,adoptopenjdk/openjdk16
pagopa/io-backend,2021,1716,36,Organization,TypeScript,7494,node:10.14.2-alpine,node
pagopa/io-dev-api-server,2021,156,6,Organization,TypeScript,13603,node:12.13.0-alpine,node
Viju60/MR.KING,2021,1689,64,User,Python,1043,python:3.8.5-slim-buster,python
busheezy/Docs,2021,321,7,User,None,14524,squidfunk/mkdocs-material:7.2.4,squidfunk/mkdocs-material
freecontent/my-new-screenshot-bot,2021,181,6,User,Python,271,python:3.9.1-buster,python
Andrey890/Vertical-structure-of-accretion-discs,2021,185,8,User,Python,295,mesa2py,mesa2py
govau/cga-cf-bosh-cli-docker,2021,4125,66,Organization,Dockerfile,35,ubuntu:18.04,ubuntu
studienprojekt-sdp/time_microservice,2021,284,6,Organization,JavaScript,43,node:14-slim,node
rmontesleo/springboot-webmarket,2021,206,5,User,Java,5500,openjdk:11,openjdk
mengxiangke/rclone,2021,523,15,User,Go,166318,alpine:latest,alpine
Mgrdich/docker_node_js,2021,339,6,User,Dockerfile,4,node:16-alpine3.11,node
trevoryong/helloworld,2021,142,2,User,Java,25,tomcat:8-jre8,tomcat
MsysTechnologiesllc/chef,2021,1453,10,Organization,Ruby,260841,busybox,busybox
uncharted-distil/distil,2021,1433,27,Organization,Go,245419,ubuntu:18.04,ubuntu
jaminitbot/Jam-Bot,2021,205,9,Organization,TypeScript,63618,node:latest,node
xjdeng/stylegan2-ada,2020,688,8,User,Jupyter Notebook,57532,tensorflow/tensorflow:1.14.0-gpu-py3,tensorflow/tensorflow
housseinmomo/ansible_deploy2,2021,144,3,User,Dockerfile,160,nginx:latest,nginx
tbtc-bot/binancef-pnlreport,2021,801,7,Organization,Python,23,python:3.9-slim,python
zwass/fleet,2018,214,5,User,None,90129,alpine,alpine
trivial-space/playground,2021,231,9,Organization,TypeScript,15364,node:14-alpine,node
5ha2s6/metaplex,2021,1231,21,User,TypeScript,29819,node:14.17.3-alpine,node
jamestalton/typescript-service,2021,662,23,User,TypeScript,5583,--platform=${TARGETPLATFORM:-linux/amd64},--platform=${TARGETPLATFORM
jamestalton/ocp-console,2021,901,15,User,TypeScript,164871,openshift/origin-base,openshift/origin-base
Shadowsith/botamusique,2020,450,14,User,Python,4932,python:slim,python
Laughing-Bulls/Project1,2021,63,2,User,HTML,8,httpd:2.4,httpd
narayand-vb/bots,2021,140,7,User,JavaScript,1046,node:16-alpine,node
dogfootman/cb-webtool,2021,468,9,User,JavaScript,105751,golang:1.16-alpine,golang
assadi-dev/be-moovie-project,2021,51,3,User,HTML,16991,node:15.x,node
gloriousCode/gocryptotrader,2021,682,17,User,Go,41835,alpine:latest,alpine
Jose1102/AREP-VIRTUALIZACI-N-E-INTRODUCCI-N-A-DOCKER-Y-A-AWS,2021,237,6,User,Java,866,openjdk:8,openjdk
fubuloubu/web3.py,2019,321,12,User,Python,23386,python:3.6,python
Bobiology/route-traversal,2021,175,4,User,Java,46463,openjdk:11,openjdk
samvera/hyrax,2021,2755,72,Organization,Ruby,211918,hyrax-worker-base,hyrax-worker-base
home-assistant/core,2021,1118,26,Organization,Python,278137,${BUILD_FROM},${BUILD_FROM}
home-assistant/home-assistant.io,2021,634,16,Organization,HTML,409715,mcr.microsoft.com/vscode/devcontainers/ruby:${VARIANT},mcr.microsoft.com/vscode/devcontainers/ruby
home-assistant/supervisor,2021,858,30,Organization,Python,115098,${BUILD_FROM},${BUILD_FROM}
messense/maturin,2021,1365,24,User,Rust,3036,quay.io/pypa/manylinux2010_x86_64,quay.io/pypa/manylinux2010_x86_64
messense/aliyundrive-webdav,2021,513,13,User,Rust,2735,alpine:latest,alpine
IQTLabs/dovesnap,2021,681,21,Organization,Go,18838,debian:bullseye,debian
IQTLabs/poseidon,2021,1572,33,Organization,Python,18641,python:3.9-slim,python
VancheeZze/Bodiless-JS,2020,159,7,User,TypeScript,24255,node:12.16.1-alpine3.11-devtools,node
talisman49/task-jmeter-VN,2021,880,22,User,Dockerfile,158,openjdk:11,openjdk
gregdhill/interbtc,2021,1241,26,User,None,82557,bitnami/minideb:buster,bitnami/minideb
lazuardyk/golang-postgre-docker,2021,89,5,User,Go,2,golang:alpine,golang
Drill4J/admin-ui-root-config,2021,1019,25,Organization,TypeScript,17604,nginx:1.17.6-alpine-perl,nginx
Drill4J/java-agent,2021,409,14,Organization,Kotlin,559,ubuntu:20.04,ubuntu
miguelruor/quantum-simulation,2021,186,6,User,Python,19,python:3.8-slim-buster,python
Remek953/Auction_cars,2021,175,7,User,HTML,158,python:3,python
Open-Speech-EkStep/speech-recognition-open-api,2021,1264,15,Organization,Python,1359,continuumio/miniconda3,continuumio/miniconda3
Corsace/Corsace,2021,675,25,Organization,TypeScript,61287,node:14-alpine,node
fabbriciocruz/conversao-peso,2021,416,13,User,C#,728,mcr.microsoft.com/dotnet/aspnet:5.0,mcr.microsoft.com/dotnet/aspnet
oabuoun/secure_rest_api_server,2021,136,5,User,HCL,15,python:3,python
