repo_name,smell_code,type,level,year,file_size,loc,owner_type,language,size
hihouhou/docker-rocketchat,DL4001,DL,warning,2021,1224,17,User,Dockerfile,86
hihouhou/docker-rocketchat,DL3003,DL,warning,2021,1224,17,User,Dockerfile,86
hihouhou/docker-prometheus,DL3007,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL4000,DL,error,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL3008,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL4006,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL4006,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL3008,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL4001,DL,warning,2021,1429,29,User,Dockerfile,47
hihouhou/docker-prometheus,DL3003,DL,warning,2021,1429,29,User,Dockerfile,47
vatanaksoytezer/rviz_visual_tools,DL4000,DL,error,2019,1048,25,User,None,4121
vatanaksoytezer/rviz_visual_tools,DL3008,DL,warning,2019,1048,25,User,None,4121
vatanaksoytezer/rviz_visual_tools,DL4005,DL,warning,2019,1048,25,User,None,4121
haroldofurtado/rails-guides-pt-BR,DL3007,DL,warning,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL4000,DL,error,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL4006,DL,warning,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL3008,DL,warning,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL3020,DL,error,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL3020,DL,error,2021,703,19,User,None,72271
haroldofurtado/rails-guides-pt-BR,DL3020,DL,error,2021,703,19,User,None,72271
unlenen/onap-as-a-service,DL3018,DL,warning,2021,480,9,User,Java,796
unlenen/onap-as-a-service,DL3020,DL,error,2021,480,9,User,Java,796
unlenen/onap-as-a-service,DL3020,DL,error,2021,480,9,User,Java,796
unlenen/onap-api,DL3018,DL,warning,2021,480,9,User,Java,796
unlenen/onap-api,DL3020,DL,error,2021,480,9,User,Java,796
unlenen/onap-api,DL3020,DL,error,2021,480,9,User,Java,796
dreglad/superset,DL3008,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3003,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3042,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3003,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3003,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3008,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3003,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3042,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3008,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3042,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3003,DL,warning,2021,6054,91,User,Python,275100
dreglad/superset,DL3025,DL,warning,2021,6054,91,User,Python,275100
kvfr/vlessheroku,DL3007,DL,warning,2020,169,5,User,Shell,22
kvfr/vlessheroku,DL3018,DL,warning,2020,169,5,User,Shell,22
kvfr/vlessheroku,DL3020,DL,error,2020,169,5,User,Shell,22
kvfr/vlessheroku,DL3025,DL,warning,2020,169,5,User,Shell,22
kvfr/xrayku,DL3018,DL,warning,2021,1454,31,User,Dockerfile,229
kvfr/xrayku,DL4006,DL,warning,2021,1454,31,User,Dockerfile,229
kvfr/xrayku,DL3020,DL,error,2021,1454,31,User,Dockerfile,229
kvfr/xrayku,DL3025,DL,warning,2021,1454,31,User,Dockerfile,229
kvfr/kinto,DL3018,DL,warning,2021,398,11,User,Shell,190
kvfr/kinto,DL3006,DL,warning,2021,398,11,User,Shell,190
kvfr/kinto,DL3020,DL,error,2021,398,11,User,Shell,190
kvfr/kinto,DL3025,DL,warning,2021,398,11,User,Shell,190
sspans-sbp/chef-workstation-cosmic,DL3008,DL,warning,2021,1772,27,User,Dockerfile,60
heimweh/boring-registry,DL3020,DL,error,2021,318,8,User,Go,7951
LucasMatosBognotti/clean-architecture,DL3006,DL,warning,2021,139,7,User,TypeScript,433
danielrd6/ifscube,DL3006,DL,warning,2020,374,10,User,Python,3408
danielrd6/ifscube,DL3042,DL,warning,2020,374,10,User,Python,3408
danielrd6/ifscube,SC2239,SC,error,2020,374,10,User,Python,3408
danielrd6/ifscube,SC2239,SC,error,2020,374,10,User,Python,3408
danielrd6/ifscube,SC2239,SC,error,2020,374,10,User,Python,3408
danielrd6/ifscube,SC2239,SC,error,2020,374,10,User,Python,3408
Moikapy/moikapy.eth,DL3016,DL,warning,2021,255,6,User,JavaScript,6158
spaceml-org/ml4floods,DL3008,DL,warning,2021,1280,33,Organization,Jupyter Notebook,197302
spaceml-org/ml4floods,DL3025,DL,warning,2021,1280,33,Organization,Jupyter Notebook,197302
j2ghz/discordbot-lua,DL3006,DL,warning,2021,696,11,User,Lua,429
j2ghz/discordbot-lua,DL3027,DL,warning,2021,696,11,User,Lua,429
j2ghz/discordbot-lua,DL4006,DL,warning,2021,696,11,User,Lua,429
j2ghz/discordbot-lua,DL3020,DL,error,2021,696,11,User,Lua,429
severinbeauvais/business-filings-ui,DL1000,DL,error,2021,488,18,User,TypeScript,11519
roger-phillips/Cura,DL3020,DL,error,2018,1157,27,User,Python,356369
roger-phillips/Cura,DL3025,DL,warning,2018,1157,27,User,Python,356369
LigiaAbril/CarWash_Backend-_TypeScript,DL3045,DL,warning,2021,391,11,User,CSS,83032
julian-r/libpostal-rest-docker,DL3008,DL,warning,2017,466,17,Organization,Shell,183280
julian-r/libpostal-rest-docker,DL3025,DL,warning,2017,466,17,Organization,Shell,183280
